name	cityid	lat	lon	google
Goshogawara	2131612	40.80444	140.441391	https://www.google.co.jp/maps/@40.80444,140.441391,15z
Satte	1852849	36.066669	139.716675	https://www.google.co.jp/maps/@36.066669,139.716675,15z
Nagareyama	1856184	35.8563	139.902664	https://www.google.co.jp/maps/@35.8563,139.902664,15z
Yūbari	2127419	43.037781	141.957779	https://www.google.co.jp/maps/@43.037781,141.957779,15z
Urayasu	1849186	35.670559	139.888611	https://www.google.co.jp/maps/@35.670559,139.888611,15z
Hiji	1862689	33.366669	131.533325	https://www.google.co.jp/maps/@33.366669,131.533325,15z
Wadayama	1848991	35.316669	134.866669	https://www.google.co.jp/maps/@35.316669,134.866669,15z
Shintoku	2128095	43.074718	142.834717	https://www.google.co.jp/maps/@43.074718,142.834717,15z
Chichibu	1864637	35.99028	139.076385	https://www.google.co.jp/maps/@35.99028,139.076385,15z
Shitara	1851751	35.099998	137.566666	https://www.google.co.jp/maps/@35.099998,137.566666,15z
Sagamihara	1853295	35.553059	139.354446	https://www.google.co.jp/maps/@35.553059,139.354446,15z
Anjo	1865294	34.958279	137.080536	https://www.google.co.jp/maps/@34.958279,137.080536,15z
Mutsu	2127878	41.28944	141.216934	https://www.google.co.jp/maps/@41.28944,141.216934,15z
Fujieda	1864132	34.866669	138.266663	https://www.google.co.jp/maps/@34.866669,138.266663,15z
Gushikawa	1863495	26.354441	127.868607	https://www.google.co.jp/maps/@26.354441,127.868607,15z
Nyuzen	1854868	36.933331	137.5	https://www.google.co.jp/maps/@36.933331,137.5,15z
Isoshi	1861336	34.79689	135.355606	https://www.google.co.jp/maps/@34.79689,135.355606,15z
Hitoyoshi	1862352	32.216671	130.75	https://www.google.co.jp/maps/@32.216671,130.75,15z
Tatebayashi	1850559	36.25	139.533325	https://www.google.co.jp/maps/@36.25,139.533325,15z
Manazuru	1857692	35.153889	139.135559	https://www.google.co.jp/maps/@35.153889,139.135559,15z
Tateishi	2110812	38.98333	141.116669	https://www.google.co.jp/maps/@38.98333,141.116669,15z
Iwanuma	2112527	38.104721	140.859436	https://www.google.co.jp/maps/@38.104721,140.859436,15z
Shirayama	1851842	36.433331	136.633331	https://www.google.co.jp/maps/@36.433331,136.633331,15z
Nanae	2129003	41.883331	140.683334	https://www.google.co.jp/maps/@41.883331,140.683334,15z
Shihoro	2128186	43.166672	143.25	https://www.google.co.jp/maps/@43.166672,143.25,15z
Fujioka	1864099	36.25	139.083328	https://www.google.co.jp/maps/@36.25,139.083328,15z
Miyazu	1856703	35.533329	135.183334	https://www.google.co.jp/maps/@35.533329,135.183334,15z
Tajimi	1851193	35.316669	137.133331	https://www.google.co.jp/maps/@35.316669,137.133331,15z
Mitsuke	1856878	37.533329	138.933334	https://www.google.co.jp/maps/@37.533329,138.933334,15z
Gosen	1863540	37.73333	139.166672	https://www.google.co.jp/maps/@37.73333,139.166672,15z
Sasayama	1852901	35.066669	135.216675	https://www.google.co.jp/maps/@35.066669,135.216675,15z
Dōshi	1864338	35.583328	139.216675	https://www.google.co.jp/maps/@35.583328,139.216675,15z
Okegawa	1854371	36	139.55722	https://www.google.co.jp/maps/@36,139.55722,15z
Kakegawa	1860728	34.76667	138.016663	https://www.google.co.jp/maps/@34.76667,138.016663,15z
Mashiko	2111999	36.466671	140.100006	https://www.google.co.jp/maps/@36.466671,140.100006,15z
Mobara	2111855	35.416672	140.300003	https://www.google.co.jp/maps/@35.416672,140.300003,15z
Yorii	1848243	36.116669	139.199997	https://www.google.co.jp/maps/@36.116669,139.199997,15z
Ishikari	2129909	43.239719	141.353897	https://www.google.co.jp/maps/@43.239719,141.353897,15z
Kakamigahara	1860735	35.416672	136.866669	https://www.google.co.jp/maps/@35.416672,136.866669,15z
Sayō	1852831	35	134.366669	https://www.google.co.jp/maps/@35,134.366669,15z
Annaka	1865290	36.316669	138.899994	https://www.google.co.jp/maps/@36.316669,138.899994,15z
Komae	1907306	35.636391	139.574432	https://www.google.co.jp/maps/@35.636391,139.574432,15z
Tsukawaki	1849706	33.26667	131.149994	https://www.google.co.jp/maps/@33.26667,131.149994,15z
Tokorozawa	1850181	35.79916	139.469025	https://www.google.co.jp/maps/@35.79916,139.469025,15z
Setana	2038715	42.451389	139.851395	https://www.google.co.jp/maps/@42.451389,139.851395,15z
Sōbetsu	2127985	42.555828	140.886108	https://www.google.co.jp/maps/@42.555828,140.886108,15z
Horokanai	2130001	44.005829	142.154434	https://www.google.co.jp/maps/@44.005829,142.154434,15z
Hamatonbetsu	2131651	45.133331	142.383331	https://www.google.co.jp/maps/@45.133331,142.383331,15z
Wassamu	2127500	44.020828	142.417786	https://www.google.co.jp/maps/@44.020828,142.417786,15z
Tsukigata	2127626	43.335281	141.669434	https://www.google.co.jp/maps/@43.335281,141.669434,15z
Abira	2130732	42.816669	141.833328	https://www.google.co.jp/maps/@42.816669,141.833328,15z
Aibetsu	2130723	43.906551	142.577484	https://www.google.co.jp/maps/@43.906551,142.577484,15z
Sarufutsu	2128277	45.256939	142.200287	https://www.google.co.jp/maps/@45.256939,142.200287,15z
Shimukappu	2128112	43	142.416672	https://www.google.co.jp/maps/@43,142.416672,15z
Okawara	2111461	38.049999	140.733612	https://www.google.co.jp/maps/@38.049999,140.733612,15z
Mashike	2130558	43.85194	141.521393	https://www.google.co.jp/maps/@43.85194,141.521393,15z
Tendo	2110793	38.353611	140.36972	https://www.google.co.jp/maps/@38.353611,140.36972,15z
Morohongo	1856560	35.935558	139.304443	https://www.google.co.jp/maps/@35.935558,139.304443,15z
Ikoma	1861749	34.683331	135.699997	https://www.google.co.jp/maps/@34.683331,135.699997,15z
Sakaiminato	1853174	35.549999	133.233337	https://www.google.co.jp/maps/@35.549999,133.233337,15z
Marumori	2112008	37.916672	140.766663	https://www.google.co.jp/maps/@37.916672,140.766663,15z
Wadomari	1848988	27.383329	128.649994	https://www.google.co.jp/maps/@27.383329,128.649994,15z
Miharu	2111943	37.433331	140.483337	https://www.google.co.jp/maps/@37.433331,140.483337,15z
Hakone	1863357	35.183331	139.033325	https://www.google.co.jp/maps/@35.183331,139.033325,15z
Ginoza	1863625	26.47611	127.973061	https://www.google.co.jp/maps/@26.47611,127.973061,15z
Seirō	1898046	37.98333	139.255005	https://www.google.co.jp/maps/@37.98333,139.255005,15z
Onoda	1854018	34.001389	131.183609	https://www.google.co.jp/maps/@34.001389,131.183609,15z
Ichinohe	2129961	40.20694	141.301666	https://www.google.co.jp/maps/@40.20694,141.301666,15z
Chatan	1864652	26.309441	127.770279	https://www.google.co.jp/maps/@26.309441,127.770279,15z
Motobu	1894388	26.652781	127.890282	https://www.google.co.jp/maps/@26.652781,127.890282,15z
Yachimata	2110579	35.650002	140.316666	https://www.google.co.jp/maps/@35.650002,140.316666,15z
Watari	2110586	38.035	140.851105	https://www.google.co.jp/maps/@38.035,140.851105,15z
Wakuya	2110596	38.533329	141.133331	https://www.google.co.jp/maps/@38.533329,141.133331,15z
Yuza	1848016	39	139.916672	https://www.google.co.jp/maps/@39,139.916672,15z
Kunneppu	2129405	43.720558	143.737213	https://www.google.co.jp/maps/@43.720558,143.737213,15z
Oketo	2128730	43.671391	143.589172	https://www.google.co.jp/maps/@43.671391,143.589172,15z
Ebetsu	2130404	43.108059	141.550568	https://www.google.co.jp/maps/@43.108059,141.550568,15z
Yasugi	1848482	35.433331	133.25	https://www.google.co.jp/maps/@35.433331,133.25,15z
Tamana	1850745	32.916672	130.566666	https://www.google.co.jp/maps/@32.916672,130.566666,15z
Hondo	1862230	32.450001	130.199997	https://www.google.co.jp/maps/@32.450001,130.199997,15z
Rikubetsu	2128407	43.466671	143.738068	https://www.google.co.jp/maps/@43.466671,143.738068,15z
Rausu	2128430	44.018059	145.191971	https://www.google.co.jp/maps/@44.018059,145.191971,15z
